config,workload,total_energy,nrh,baseline_energy,ramulator.hydra_baseline_energy,normalized_energy
ABACuS,401.bzip2,3211775.7164999996,250,3207866.962875,3207866.962875,1.0012184899405854
ABACuS,401.bzip2,3210911.0925,500,3207866.962875,3207866.962875,1.0009489575659558
ABACuS,401.bzip2,3209229.309375,1000,3207866.962875,3207866.962875,1.0004246892142867
Baseline,ycsb_eserver,4695748.617749999,,4695748.617749999,4695748.617749999,1.0
Hydra-Baseline,ycsb_eserver,4695748.617749999,,4695748.617749999,4695748.617749999,1.0
REGA,ycsb_eserver,7443056.655937499,125,4695748.617749999,4695748.617749999,1.5850628433989493
REGA,ycsb_eserver,5548072.880624999,250,4695748.617749999,4695748.617749999,1.1815097724041703
REGA,ycsb_eserver,4967334.912374999,500,4695748.617749999,4695748.617749999,1.0578366340988528
REGA,ycsb_eserver,4777889.50275,1000,4695748.617749999,4695748.617749999,1.017492606969953
Graphene,ycsb_eserver,4736522.5809375,125,4695748.617749999,4695748.617749999,1.0086831656689148
Graphene,ycsb_eserver,4710434.44875,250,4695748.617749999,4695748.617749999,1.0031274738482567
Graphene,ycsb_eserver,4695748.617749999,500,4695748.617749999,4695748.617749999,1.0
Graphene,ycsb_eserver,4695748.617749999,1000,4695748.617749999,4695748.617749999,1.0
Hydra,ycsb_eserver,4953371.508,125,4695748.617749999,4695748.617749999,1.0548630072053224
Hydra,ycsb_eserver,4803898.101375,250,4695748.617749999,4695748.617749999,1.0230313614353617
Hydra,ycsb_eserver,4747550.51775,500,4695748.617749999,4695748.617749999,1.011031659532239
Hydra,ycsb_eserver,4698926.996250001,1000,4695748.617749999,4695748.617749999,1.0006768630007123
PARA,ycsb_eserver,6119665.956374999,125,4695748.617749999,4695748.617749999,1.3032354273060043
PARA,ycsb_eserver,5267328.57525,250,4695748.617749999,4695748.617749999,1.1217228612578236
PARA,ycsb_eserver,4955958.004312499,500,4695748.617749999,4695748.617749999,1.055413823810522
PARA,ycsb_eserver,4820773.3284375,1000,4695748.617749999,4695748.617749999,1.026625085979881
ABACuS,ycsb_eserver,4719663.5203125,125,4695748.617749999,4695748.617749999,1.005092883906115
ABACuS,ycsb_eserver,4707291.610124999,250,4695748.617749999,4695748.617749999,1.002458179369178
ABACuS,ycsb_eserver,4699359.0080625,500,4695748.617749999,4695748.617749999,1.0007688636267396
ABACuS,ycsb_eserver,4695881.2965,1000,4695748.617749999,4695748.617749999,1.0000282550793924
Baseline,jp2_decode,5644398.788437501,,5644398.788437501,5644398.788437501,1.0
Hydra-Baseline,jp2_decode,5644398.788437501,,5644398.788437501,5644398.788437501,1.0
REGA,jp2_decode,10162721.1316875,125,5644398.788437501,5644398.788437501,1.8004966538696277
REGA,jp2_decode,7102797.396374999,250,5644398.788437501,5644398.788437501,1.2583797960776646
REGA,jp2_decode,6110427.5761875,500,5644398.788437501,5644398.788437501,1.0825648231490403
REGA,jp2_decode,5774219.4084375,1000,5644398.788437501,5644398.788437501,1.0229999021801819
Graphene,jp2_decode,5694025.8913124995,125,5644398.788437501,5644398.788437501,1.0087922743829971
Graphene,jp2_decode,5669970.214500001,250,5644398.788437501,5644398.788437501,1.0045304074040415
Graphene,jp2_decode,5655612.8956875,500,5644398.788437501,5644398.788437501,1.0019867673547396
Graphene,jp2_decode,5650683.7554375,1000,5644398.788437501,5644398.788437501,1.0011134874121357
Hydra,jp2_decode,5718620.615812499,125,5644398.788437501,5644398.788437501,1.013149642708988
Hydra,jp2_decode,5692214.934937499,250,5644398.788437501,5644398.788437501,1.0084714330599656
Hydra,jp2_decode,5681280.614999999,500,5644398.788437501,5644398.788437501,1.0065342347245292
Hydra,jp2_decode,5671648.30275,1000,5644398.788437501,5644398.788437501,1.0048277089082223
PARA,jp2_decode,7250687.6645625,125,5644398.788437501,5644398.788437501,1.2845810397761879
PARA,jp2_decode,6218254.9933125,250,5644398.788437501,5644398.788437501,1.101668260231814
PARA,jp2_decode,5895975.542625001,500,5644398.788437501,5644398.788437501,1.0445710453171475
PARA,jp2_decode,5764967.636625,1000,5644398.788437501,5644398.788437501,1.0213607954906525
ABACuS,jp2_decode,5664237.871125,125,5644398.788437501,5644398.788437501,1.0035148265441731
ABACuS,jp2_decode,5654401.120312501,250,5644398.788437501,5644398.788437501,1.0017720810045332
ABACuS,jp2_decode,5648366.462812499,500,5644398.788437501,5644398.788437501,1.000702940122361
ABACuS,jp2_decode,5646945.778875001,1000,5644398.788437501,5644398.788437501,1.0004512421132818
Baseline,435.gromacs,2400167.3835,,2400167.3835,2400167.3835,1.0
Hydra-Baseline,435.gromacs,2400167.3835,,2400167.3835,2400167.3835,1.0
REGA,435.gromacs,2938003.5644999994,125,2400167.3835,2400167.3835,1.2240827805166279
